level,n,pearson,pulse_column,residual_column,scope,spearman
canonical_prediction_row,10134,0.41547150812378136,delta_pulse_1s_resistance,capacity_residual,all,0.11451040285589277
canonical_prediction_row,10134,0.4977369871627241,delta_pulse_1s_resistance,capacity_abs_residual,all,0.2704879732239132
canonical_prediction_row,10134,0.4298809709332596,delta_pulse_10ms_resistance,capacity_residual,all,0.12338558208084176
canonical_prediction_row,10134,0.48369604418559375,delta_pulse_10ms_resistance,capacity_abs_residual,all,0.24172936389151597
canonical_prediction_row,506,0.7232718433338414,delta_pulse_1s_resistance,capacity_residual,c_rate_holdout,0.48821266484765286
canonical_prediction_row,506,0.6730924699428785,delta_pulse_1s_resistance,capacity_abs_residual,c_rate_holdout,0.3860980438151868
canonical_prediction_row,506,0.7085187664264135,delta_pulse_10ms_resistance,capacity_residual,c_rate_holdout,0.5092786150238384
canonical_prediction_row,506,0.6430492724971744,delta_pulse_10ms_resistance,capacity_abs_residual,c_rate_holdout,0.36893747002691013
canonical_prediction_row,300,0.7403182379127189,delta_pulse_1s_resistance,capacity_residual,cold_c_rate,0.6684385382059801
canonical_prediction_row,300,0.6646109234384997,delta_pulse_1s_resistance,capacity_abs_residual,cold_c_rate,0.49606640073778596
canonical_prediction_row,300,0.7240466944923009,delta_pulse_10ms_resistance,capacity_residual,cold_c_rate,0.6626758075089724
canonical_prediction_row,300,0.6425746907951375,delta_pulse_10ms_resistance,capacity_abs_residual,cold_c_rate,0.4866787408748986
canonical_prediction_row,3470,0.32217930744368983,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_0_100,0.09983301315309388
canonical_prediction_row,3470,0.3536841873019011,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.24344960969771892
canonical_prediction_row,3470,0.35800336933356064,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_0_100,0.11949620817241567
canonical_prediction_row,3470,0.3565560082896521,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_0_100,0.22944613387416574
canonical_prediction_row,1206,0.7792204441344589,delta_pulse_1s_resistance,capacity_residual,voltage_window_approx_10_100,0.37877032723739623
canonical_prediction_row,1206,0.7973873812732919,delta_pulse_1s_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.3963269147939976
canonical_prediction_row,1206,0.7622479001568451,delta_pulse_10ms_resistance,capacity_residual,voltage_window_approx_10_100,0.3709254591296646
canonical_prediction_row,1206,0.7819330572099578,delta_pulse_10ms_resistance,capacity_abs_residual,voltage_window_approx_10_100,0.38366130001380067
canonical_prediction_row,2558,0.3133318984832468,delta_pulse_1s_resistance,capacity_residual,profile_holdout,0.12159291234823096
canonical_prediction_row,2558,0.3194097407866687,delta_pulse_1s_resistance,capacity_abs_residual,profile_holdout,0.15920729286461963
canonical_prediction_row,2558,0.33795113644535524,delta_pulse_10ms_resistance,capacity_residual,profile_holdout,0.11873929512985128
canonical_prediction_row,2558,0.3142136926815567,delta_pulse_10ms_resistance,capacity_abs_residual,profile_holdout,0.15999183753900406
