adaptive_passes_5pct,max_other_split_relative_degradation,schema_version,seed,selection_policy
True,0.027911712329013853,gate56.stressor_robust_adaptive_replication.v1,42,conservative_guarded
True,0.027911712329013853,gate56.stressor_robust_adaptive_replication.v1,101,conservative_guarded
True,0.027911712329013853,gate56.stressor_robust_adaptive_replication.v1,202,conservative_guarded
True,0.027911712329013853,gate56.stressor_robust_adaptive_replication.v1,303,conservative_guarded
True,0.027911712329013853,gate56.stressor_robust_adaptive_replication.v1,404,conservative_guarded
False,0.06457637725484183,gate56.stressor_robust_adaptive_replication.v1,42,max_gain_guarded
False,0.06457637725484183,gate56.stressor_robust_adaptive_replication.v1,101,max_gain_guarded
False,0.06457637725484183,gate56.stressor_robust_adaptive_replication.v1,202,max_gain_guarded
False,0.06457637725484183,gate56.stressor_robust_adaptive_replication.v1,303,max_gain_guarded
False,0.06457637725484183,gate56.stressor_robust_adaptive_replication.v1,404,max_gain_guarded
